[2018-05-29 00:00:42,113]-[log.py]-INFO:admin登录成功！
[2018-05-29 00:00:49,643]-[log.py]-INFO:user1登录成功！
[2018-05-29 00:02:05,218]-[log.py]-INFO:admin登录成功！
[2018-05-29 00:02:12,208]-[log.py]-INFO:user1登录成功！
[2018-05-29 00:04:13,612]-[log.py]-INFO:admin登录成功！
[2018-05-29 00:04:21,167]-[log.py]-INFO:user1登录成功！
[2018-05-29 00:07:33,457]-[log.py]-INFO:admin登录成功！
[2018-05-29 00:07:40,765]-[log.py]-INFO:user1登录成功！
[2018-05-29 00:09:25,834]-[log.py]-INFO:用户名为空登录失败！
[2018-05-29 00:09:32,112]-[log.py]-INFO:ad登录失败!
[2018-05-29 00:09:37,894]-[log.py]-INFO:user1登录失败!
[2018-05-29 00:09:43,719]-[log.py]-INFO:user1登录失败!
[2018-05-29 00:10:05,258]-[log.py]-INFO:admin登录成功！
[2018-05-29 00:10:13,777]-[log.py]-INFO:user1登录成功！
[2018-05-29 00:28:53,027]-[log.py]-INFO:切换简体成功！
[2018-05-29 00:29:02,876]-[log.py]-INFO:切换繁体成功！
[2018-05-29 00:29:12,685]-[log.py]-INFO:切换英文成功！
[2018-05-29 01:24:43,158]-[log.py]-INFO:用户名为空登录失败！
[2018-05-29 01:24:49,074]-[log.py]-INFO:ad登录失败!
[2018-05-29 01:24:54,889]-[log.py]-INFO:user1登录失败!
[2018-05-29 01:25:00,650]-[log.py]-INFO:user1登录失败!
[2018-05-29 01:25:21,564]-[log.py]-INFO:admin登录成功！
[2018-05-29 01:25:29,246]-[log.py]-INFO:user1登录成功！
[2018-05-29 01:25:59,280]-[log.py]-INFO:成功进入我的地盘模块
[2018-05-29 01:26:01,938]-[log.py]-INFO:成功进入客户管理模块
[2018-05-29 01:26:04,508]-[log.py]-INFO:成功进入日常办公模块
[2018-05-29 01:26:07,147]-[log.py]-INFO:成功进入项目模块
[2018-05-29 01:26:09,657]-[log.py]-INFO:成功进入文档模块
[2018-05-29 01:26:12,230]-[log.py]-INFO:成功进入现金记账模块
[2018-05-29 01:26:14,868]-[log.py]-INFO:成功进入团队模块
