[2018-06-03 13:06:43,806]-[log.py]-INFO:切换简体成功！
[2018-06-03 13:06:46,905]-[log.py]-INFO:切换繁体成功！
[2018-06-03 13:07:11,702]-[log.py]-INFO:切换英文成功！
[2018-06-03 15:00:21,924]-[log.py]-INFO:切换简体成功！
[2018-06-03 15:00:24,514]-[log.py]-INFO:切换繁体成功！
[2018-06-03 15:00:31,931]-[log.py]-INFO:切换英文成功！
[2018-06-03 15:01:30,766]-[log.py]-INFO:切换简体成功！
[2018-06-03 15:01:36,116]-[log.py]-INFO:切换繁体成功！
[2018-06-03 15:03:08,814]-[log.py]-INFO:切换简体成功！
[2018-06-03 15:03:11,307]-[log.py]-INFO:切换繁体成功！
[2018-06-03 15:03:34,829]-[log.py]-INFO:切换英文成功！
[2018-06-03 15:39:46,622]-[log.py]-INFO:输入用户名
[2018-06-03 15:39:46,913]-[log.py]-INFO:输入密码
[2018-06-03 15:39:47,089]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 15:41:36,339]-[log.py]-INFO:输入用户名
[2018-06-03 15:41:36,610]-[log.py]-INFO:输入密码
[2018-06-03 15:41:36,796]-[log.py]-INFO:点击“保持登录”
[2018-06-03 15:41:36,993]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 15:42:20,524]-[log.py]-INFO:输入用户名
[2018-06-03 15:42:20,802]-[log.py]-INFO:输入密码
[2018-06-03 15:42:20,979]-[log.py]-INFO:点击“保持登录”
[2018-06-03 15:42:21,177]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 15:52:33,911]-[log.py]-INFO:输入用户名
[2018-06-03 15:52:34,172]-[log.py]-INFO:输入密码
[2018-06-03 15:52:34,363]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 15:58:42,075]-[log.py]-INFO:输入用户名
[2018-06-03 15:58:42,325]-[log.py]-INFO:输入密码
[2018-06-03 15:58:42,503]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:04:21,370]-[log.py]-INFO:输入用户名
[2018-06-03 16:04:21,630]-[log.py]-INFO:输入密码
[2018-06-03 16:04:21,889]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:05:27,164]-[log.py]-INFO:输入用户名
[2018-06-03 16:05:27,417]-[log.py]-INFO:输入密码
[2018-06-03 16:05:27,589]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:05:27,839]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:14:45,659]-[log.py]-INFO:输入用户名
[2018-06-03 16:14:45,979]-[log.py]-INFO:输入密码
[2018-06-03 16:14:46,149]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:14:46,350]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:17:40,361]-[log.py]-INFO:输入用户名
[2018-06-03 16:17:40,628]-[log.py]-INFO:输入密码
[2018-06-03 16:17:40,794]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:17:40,981]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:21:12,425]-[log.py]-INFO:输入用户名
[2018-06-03 16:21:12,690]-[log.py]-INFO:输入密码
[2018-06-03 16:21:12,865]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:21:13,063]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:25:24,553]-[log.py]-INFO:输入用户名
[2018-06-03 16:25:24,819]-[log.py]-INFO:输入密码
[2018-06-03 16:25:24,987]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:25:25,236]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:30:24,024]-[log.py]-INFO:输入用户名
[2018-06-03 16:30:24,301]-[log.py]-INFO:输入密码
[2018-06-03 16:30:24,519]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:30:24,722]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:34:36,167]-[log.py]-INFO:输入用户名
[2018-06-03 16:34:36,449]-[log.py]-INFO:输入密码
[2018-06-03 16:34:36,636]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:34:36,910]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:35:35,574]-[log.py]-INFO:输入用户名
[2018-06-03 16:35:35,850]-[log.py]-INFO:输入密码
[2018-06-03 16:35:36,033]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:35:36,242]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:39:30,041]-[log.py]-INFO:输入用户名
[2018-06-03 16:39:30,293]-[log.py]-INFO:输入密码
[2018-06-03 16:39:30,464]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:39:30,655]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:41:16,329]-[log.py]-INFO:输入用户名
[2018-06-03 16:41:16,621]-[log.py]-INFO:输入密码
[2018-06-03 16:41:16,794]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:41:17,004]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:42:17,291]-[log.py]-INFO:输入用户名
[2018-06-03 16:42:17,558]-[log.py]-INFO:输入密码
[2018-06-03 16:42:17,721]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:42:17,923]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:48:00,008]-[log.py]-INFO:输入用户名
[2018-06-03 16:48:00,271]-[log.py]-INFO:输入密码
[2018-06-03 16:48:00,447]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:48:00,641]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:49:05,999]-[log.py]-INFO:输入用户名
[2018-06-03 16:49:06,279]-[log.py]-INFO:输入密码
[2018-06-03 16:49:06,443]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:49:06,642]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:51:41,313]-[log.py]-INFO:输入用户名
[2018-06-03 16:51:41,569]-[log.py]-INFO:输入密码
[2018-06-03 16:51:41,735]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:51:41,942]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:53:40,021]-[log.py]-INFO:输入用户名
[2018-06-03 16:53:40,268]-[log.py]-INFO:输入密码
[2018-06-03 16:53:40,437]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:53:40,634]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 16:54:43,838]-[log.py]-INFO:输入用户名
[2018-06-03 16:54:44,100]-[log.py]-INFO:输入密码
[2018-06-03 16:54:44,284]-[log.py]-INFO:点击“保持登录”
[2018-06-03 16:54:44,476]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:04:44,354]-[log.py]-INFO:输入用户名
[2018-06-03 17:04:44,751]-[log.py]-INFO:输入密码
[2018-06-03 17:04:45,057]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:04:45,352]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:10:07,017]-[log.py]-INFO:输入用户名
[2018-06-03 17:10:07,267]-[log.py]-INFO:输入密码
[2018-06-03 17:10:07,452]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:10:07,645]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:12:10,570]-[log.py]-INFO:输入用户名
[2018-06-03 17:12:10,850]-[log.py]-INFO:输入密码
[2018-06-03 17:12:11,049]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:12:11,257]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 17:17:12,461]-[log.py]-INFO:输入用户名
[2018-06-03 17:17:12,743]-[log.py]-INFO:输入密码
[2018-06-03 17:17:12,939]-[log.py]-INFO:点击“保持登录”
[2018-06-03 17:17:13,167]-[log.py]-INFO:点击“登录”按钮
