[2018-06-06 14:41:32,558]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 14:41:34,214]-[log.py]-INFO:成功选择简体中文
[2018-06-06 14:41:38,031]-[log.py]-INFO:输入用户名
[2018-06-06 14:41:38,296]-[log.py]-INFO:输入密码
[2018-06-06 14:41:38,451]-[log.py]-INFO:点击“保持登录”
[2018-06-06 14:41:38,664]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 14:41:44,601]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 14:41:48,226]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 14:41:48,518]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 14:41:51,303]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-06 14:41:56,276]-[log.py]-INFO:输入“用户名”
[2018-06-06 14:41:56,539]-[log.py]-INFO:输入“真实姓名”
[2018-06-06 14:41:56,774]-[log.py]-INFO:性别选择“女”
[2018-06-06 14:41:57,059]-[log.py]-INFO:部门选择“销售”
[2018-06-06 14:41:57,355]-[log.py]-INFO:角色选择“销售”
[2018-06-06 14:41:57,639]-[log.py]-INFO:输入密码
[2018-06-06 14:41:57,937]-[log.py]-INFO:再次输入密码
[2018-06-06 14:41:58,406]-[log.py]-INFO:输入邮箱
[2018-06-06 14:41:58,853]-[log.py]-INFO:点击“提交”按钮
[2018-06-06 14:41:59,550]-[log.py]-INFO:退出“后台管理”框架
[2018-06-06 14:42:02,641]-[log.py]-INFO:进入“后台管理”框架
[2018-06-06 14:42:09,036]-[log.py]-INFO:记录新增成功！新增记录 user41 不是在第一页被找到！
[2018-06-06 14:42:09,461]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-06 14:42:09,490]-[log.py]-INFO:成功连接上数据库!
[2018-06-06 14:42:09,513]-[log.py]-INFO:成功获取到想要对比的字段
[2018-06-06 14:42:09,517]-[log.py]-INFO:数据库校验成功，确实有新增的字段记录user41
[2018-06-06 14:42:09,775]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 14:42:13,292]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 14:42:13,531]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 14:42:16,349]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-06 14:42:21,167]-[log.py]-INFO:输入“用户名”
[2018-06-06 14:42:21,445]-[log.py]-INFO:输入“真实姓名”
[2018-06-06 14:42:21,701]-[log.py]-INFO:性别选择“女”
[2018-06-06 14:42:21,962]-[log.py]-INFO:部门选择“销售”
[2018-06-06 14:42:22,224]-[log.py]-INFO:角色选择“销售”
[2018-06-06 14:42:22,494]-[log.py]-INFO:输入密码
[2018-06-06 14:42:22,815]-[log.py]-INFO:再次输入密码
[2018-06-06 14:42:23,269]-[log.py]-INFO:输入邮箱
[2018-06-06 14:42:23,643]-[log.py]-INFO:点击“提交”按钮
[2018-06-06 14:42:24,145]-[log.py]-INFO:退出“后台管理”框架
[2018-06-06 14:42:27,207]-[log.py]-INFO:进入“后台管理”框架
[2018-06-06 14:42:33,596]-[log.py]-INFO:记录新增成功！新增记录 user42 不是在第一页被找到！
[2018-06-06 14:42:34,015]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-06 14:42:34,041]-[log.py]-INFO:成功连接上数据库!
[2018-06-06 14:42:34,064]-[log.py]-INFO:成功获取到想要对比的字段
[2018-06-06 14:42:34,068]-[log.py]-INFO:数据库校验成功，确实有新增的字段记录user42
[2018-06-06 14:42:39,815]-[log.py]-INFO:邮件发送成功!
[2018-06-06 16:31:46,809]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 16:31:48,745]-[log.py]-INFO:成功选择简体中文
[2018-06-06 16:31:52,457]-[log.py]-INFO:输入用户名
[2018-06-06 16:31:52,716]-[log.py]-INFO:输入密码
[2018-06-06 16:31:52,894]-[log.py]-INFO:点击“保持登录”
[2018-06-06 16:31:53,093]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 16:31:59,497]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 16:32:03,089]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 16:32:03,381]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 16:32:21,877]-[log.py]-INFO:邮件发送成功!
[2018-06-06 16:34:49,163]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 16:34:49,922]-[log.py]-INFO:成功选择简体中文
[2018-06-06 16:34:53,535]-[log.py]-INFO:输入用户名
[2018-06-06 16:34:53,792]-[log.py]-INFO:输入密码
[2018-06-06 16:34:53,951]-[log.py]-INFO:点击“保持登录”
[2018-06-06 16:34:54,142]-[log.py]-INFO:点击“登录”按钮
[2018-06-06 16:34:59,279]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-06 16:35:02,908]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-06 16:35:03,189]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-06 16:35:22,106]-[log.py]-INFO:邮件发送成功!
[2018-06-06 16:40:05,114]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-06 16:40:05,951]-[log.py]-INFO:成功选择简体中文
[2018-06-06 16:40:09,596]-[log.py]-INFO:输入用户名
[2018-06-06 16:40:09,858]-[log.py]-INFO:输入密码
