[2018-06-10 21:41:09,639]-[log.py]-INFO:邮件发送成功!
[2018-06-10 22:02:17,765]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 22:02:19,799]-[log.py]-INFO:成功选择简体中文
[2018-06-10 22:02:23,710]-[log.py]-INFO:输入用户名
[2018-06-10 22:02:23,949]-[log.py]-INFO:输入密码
[2018-06-10 22:02:24,119]-[log.py]-INFO:点击“保持登录”
[2018-06-10 22:02:24,320]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 22:02:42,400]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 22:02:43,363]-[log.py]-INFO:成功选择简体中文
[2018-06-10 22:02:46,944]-[log.py]-INFO:输入用户名
[2018-06-10 22:02:47,163]-[log.py]-INFO:输入密码
[2018-06-10 22:02:47,322]-[log.py]-INFO:点击“保持登录”
[2018-06-10 22:02:47,501]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 22:09:12,203]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 22:09:13,419]-[log.py]-INFO:成功选择简体中文
[2018-06-10 22:09:16,977]-[log.py]-INFO:输入用户名
[2018-06-10 22:09:17,192]-[log.py]-INFO:输入密码
[2018-06-10 22:09:17,336]-[log.py]-INFO:点击“保持登录”
[2018-06-10 22:09:17,520]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 22:09:22,678]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-10 22:09:26,310]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-10 22:09:26,551]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-10 22:09:29,355]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-10 22:09:34,011]-[log.py]-INFO:输入“用户名”
[2018-06-10 22:09:34,524]-[log.py]-INFO:输入“真实姓名”
[2018-06-10 22:09:34,725]-[log.py]-INFO:性别选择“女”
[2018-06-10 22:09:34,973]-[log.py]-INFO:部门选择“销售”
[2018-06-10 22:09:35,215]-[log.py]-INFO:角色选择“销售”
[2018-06-10 22:09:35,610]-[log.py]-INFO:输入密码
[2018-06-10 22:09:35,894]-[log.py]-INFO:再次输入密码
[2018-06-10 22:09:36,262]-[log.py]-INFO:输入邮箱
[2018-06-10 22:09:36,697]-[log.py]-INFO:点击“提交”按钮
[2018-06-10 22:09:37,149]-[log.py]-INFO:退出“后台管理”框架
[2018-06-10 22:09:54,305]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 22:09:55,403]-[log.py]-INFO:成功选择简体中文
[2018-06-10 22:09:58,998]-[log.py]-INFO:输入用户名
[2018-06-10 22:09:59,207]-[log.py]-INFO:输入密码
[2018-06-10 22:09:59,358]-[log.py]-INFO:点击“保持登录”
[2018-06-10 22:09:59,531]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 22:10:04,641]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-10 22:10:08,164]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-10 22:10:08,418]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-10 22:10:11,103]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-10 22:10:15,854]-[log.py]-INFO:输入“用户名”
[2018-06-10 22:10:16,028]-[log.py]-INFO:输入“真实姓名”
[2018-06-10 22:10:16,246]-[log.py]-INFO:性别选择“女”
[2018-06-10 22:10:16,469]-[log.py]-INFO:部门选择“销售”
[2018-06-10 22:10:16,745]-[log.py]-INFO:角色选择“销售”
[2018-06-10 22:10:17,020]-[log.py]-INFO:输入密码
[2018-06-10 22:10:17,347]-[log.py]-INFO:再次输入密码
[2018-06-10 22:10:17,877]-[log.py]-INFO:输入邮箱
[2018-06-10 22:10:18,168]-[log.py]-INFO:点击“提交”按钮
[2018-06-10 22:10:18,616]-[log.py]-INFO:退出“后台管理”框架
[2018-06-10 23:25:19,561]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:25:20,513]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:25:24,302]-[log.py]-INFO:输入用户名
[2018-06-10 23:25:24,634]-[log.py]-INFO:输入密码
[2018-06-10 23:25:24,833]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:25:25,133]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:25:31,358]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-10 23:25:35,200]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-10 23:25:35,680]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-10 23:25:38,770]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-10 23:25:43,737]-[log.py]-INFO:输入“用户名”
[2018-06-10 23:25:44,165]-[log.py]-INFO:输入“真实姓名”
[2018-06-10 23:25:44,481]-[log.py]-INFO:性别选择“女”
[2018-06-10 23:25:44,912]-[log.py]-INFO:部门选择“销售”
[2018-06-10 23:25:45,250]-[log.py]-INFO:角色选择“销售”
[2018-06-10 23:25:45,836]-[log.py]-INFO:输入密码
[2018-06-10 23:25:46,182]-[log.py]-INFO:再次输入密码
[2018-06-10 23:25:46,854]-[log.py]-INFO:输入邮箱
[2018-06-10 23:25:47,324]-[log.py]-INFO:点击“提交”按钮
[2018-06-10 23:25:47,946]-[log.py]-INFO:退出“后台管理”框架
[2018-06-10 23:26:09,532]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:26:10,517]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:26:14,284]-[log.py]-INFO:输入用户名
[2018-06-10 23:26:14,633]-[log.py]-INFO:输入密码
[2018-06-10 23:26:14,852]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:26:15,199]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:26:21,061]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-10 23:26:24,923]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-10 23:26:25,380]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-10 23:26:29,002]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-10 23:26:34,232]-[log.py]-INFO:输入“用户名”
[2018-06-10 23:26:34,551]-[log.py]-INFO:输入“真实姓名”
[2018-06-10 23:26:34,873]-[log.py]-INFO:性别选择“男”
[2018-06-10 23:26:35,262]-[log.py]-INFO:部门选择“销售”
[2018-06-10 23:26:35,720]-[log.py]-INFO:角色选择“销售”
[2018-06-10 23:26:36,117]-[log.py]-INFO:输入密码
[2018-06-10 23:26:36,482]-[log.py]-INFO:再次输入密码
[2018-06-10 23:26:37,112]-[log.py]-INFO:输入邮箱
[2018-06-10 23:26:37,705]-[log.py]-INFO:点击“提交”按钮
[2018-06-10 23:26:38,223]-[log.py]-INFO:退出“后台管理”框架
[2018-06-10 23:26:57,844]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:26:58,869]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:27:02,719]-[log.py]-INFO:输入用户名
[2018-06-10 23:27:03,052]-[log.py]-INFO:输入密码
[2018-06-10 23:27:03,273]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:27:03,572]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:27:27,096]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:27:28,180]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:27:31,980]-[log.py]-INFO:输入用户名
[2018-06-10 23:27:32,319]-[log.py]-INFO:输入密码
[2018-06-10 23:27:32,542]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:27:32,857]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:27:54,940]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:27:55,956]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:27:59,788]-[log.py]-INFO:输入用户名
[2018-06-10 23:28:00,138]-[log.py]-INFO:输入密码
[2018-06-10 23:28:00,378]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:28:00,696]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:28:23,396]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:28:24,357]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:28:28,133]-[log.py]-INFO:输入用户名
[2018-06-10 23:28:28,500]-[log.py]-INFO:输入密码
[2018-06-10 23:28:28,712]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:28:29,075]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:28:53,255]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:28:54,458]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:28:58,225]-[log.py]-INFO:输入用户名
[2018-06-10 23:28:58,611]-[log.py]-INFO:输入密码
[2018-06-10 23:28:58,845]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:28:59,230]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:29:21,360]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:29:22,304]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:29:26,034]-[log.py]-INFO:输入用户名
[2018-06-10 23:29:26,400]-[log.py]-INFO:输入密码
[2018-06-10 23:29:26,629]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:29:26,866]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:29:51,159]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:29:52,228]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:29:56,031]-[log.py]-INFO:输入用户名
[2018-06-10 23:29:56,370]-[log.py]-INFO:输入密码
[2018-06-10 23:29:56,581]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:29:56,896]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:30:19,929]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-10 23:30:21,018]-[log.py]-INFO:成功选择简体中文
[2018-06-10 23:30:24,888]-[log.py]-INFO:输入用户名
[2018-06-10 23:30:25,245]-[log.py]-INFO:输入密码
[2018-06-10 23:30:25,462]-[log.py]-INFO:点击“保持登录”
[2018-06-10 23:30:25,712]-[log.py]-INFO:点击“登录”按钮
[2018-06-10 23:30:31,863]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-10 23:30:35,908]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-10 23:30:36,399]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-10 23:30:39,687]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-10 23:30:44,979]-[log.py]-INFO:输入“用户名”
[2018-06-10 23:30:45,362]-[log.py]-INFO:输入“真实姓名”
[2018-06-10 23:30:45,729]-[log.py]-INFO:性别选择“女”
[2018-06-10 23:30:46,053]-[log.py]-INFO:部门选择“销售”
[2018-06-10 23:30:46,636]-[log.py]-INFO:角色选择“销售”
[2018-06-10 23:30:47,054]-[log.py]-INFO:输入密码
[2018-06-10 23:30:47,520]-[log.py]-INFO:再次输入密码
[2018-06-10 23:30:48,227]-[log.py]-INFO:输入邮箱
[2018-06-10 23:30:48,663]-[log.py]-INFO:点击“提交”按钮
[2018-06-10 23:30:49,218]-[log.py]-INFO:退出“后台管理”框架
[2018-06-10 23:30:52,334]-[log.py]-INFO:进入“后台管理”框架
[2018-06-10 23:31:00,292]-[log.py]-INFO:成功退出“后台管理”框架
